pair_id,source_title,cor_section,answer,question,local_or_sum,attribute1,attribute2,ex_or_im
e9431c0170c65186,a-fish-story,1,the black people in the sandy desert in the centre of the country,Who knew about fishes that lived on land?,local,character,,explicit
dffecf69f0a15b37,a-fish-story,"1, 4",There was a fire on the land.,Why didn't the fishes hunt on land anymore?,summary,causal relationship,,implicit
a5da478e8ef857f1,a-fish-story,2,"looked about for a nice, cool spot",What did the fish tribe do after they came back from hunting expedition?,local,action,,explicit
a2d1fa44d443581f,a-fish-story,2,The rain will put out the fire.,What will happen after the fish tribe make their fire?,local,prediction,outcome resolution,implicit
aca115f2dbdd548a,a-fish-story,2,It was very hard to light it again.,Why was it a very serious thing after the fire was almost put out?,local,causal relationship,,explicit
c516f3db2a785bb9,a-fish-story,2,It was very cold.,Why did the fish tribe need to light the fire again?,local,causal relationship,,implicit
cd5966c29b555275,a-fish-story,2,rub two sticks together in the hope of kindling a flame,What did Thuggai try to do to light the fire?,local,action,,explicit
1459c15543765a4b,a-fish-story,3,The wood was too wet.,Why couldn't the fish tribe light the fire again?,local,causal relationship,,explicit
bbc7b2041965551f,a-fish-story,3,Guddhu the cod,Who was skilled in magic more than most fishes?,local,character,,explicit
2be22a271d505567,a-fish-story,3,A fish offered to help them.,What happened after the fish tribe gave up on lighting the fire?,local,outcome resolution,,implicit
dab53eb6d3c65ed4,a-fish-story,3,"stripped some pieces of bark off a tree, and placed them on top of the smouldering ashes",What was the first thing Guddhu the cod did to light the fire?,local,action,,explicit
8e2d455af9b8513c,a-fish-story,3,They didn't want the wind to put out the fire.,Why did the fish tribe keep their backs toward the piercing wind?,local,causal relationship,,implicit
f23b08ffc3865b33,a-fish-story,4,A blast of wind swept down from the hills and blew the fire out towards them.,What happened after the fish tribe rekindled the fire?,local,outcome resolution,,explicit
97265a10c7035e36,a-fish-story,4,"The fire, driven by the strong wind had followed them right down to the bottom of the pool.",Why did the fish tribe feel warm again after falling into the water?,local,causal relationship,,explicit
ea5d7e568e78591f,a-fish-story,4,"found the flames as hot as before, and that fire never went out, like those upon land, but kept burning for ever",What did the fishes find after gathering around the fire?,local,action,,explicit
054738fdf1d55e77,a-fish-story,4,It was cold under the water.,Why did the fishes decide to live in the water?,local,causal relationship,,implicit
d0bd82fcde2b5743,a-french-puck,1,a mischievous kind of spirit,"Whose delight was it to play tricks on everybody, and particularly on the shepherds and the cowboys?",local,character,,explicit
bcefb6dd90bc5e32,a-french-puck,1,"He could change himself into a man, woman or child, a stick, a goat, a ploughshare.",Why didn't everyone know when they were safe from the mischievous kind of spirit?,local,causal relationship,,explicit
b3fe9d18921c5ae3,a-french-puck,1,a needle,What couldn't the spirit change into?,local,action,,explicit
10a798475e395b61,a-french-puck,1,Puck,What was the sprite's name?,local,character,,explicit
e351dc366ad45055,a-french-puck,1,"unfastened the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground",What did the sprite do in the cowsheds?,local,action,,explicit
d6204d51c8ef5364,a-french-puck,2,a sheep who was bleating loudly,What did William notice as he was passing by?,local,action,,explicit
d7a7a4e2e9c8522f,a-french-puck,2,William thought it must have strayed from the flock.,Why did William decide to take the sheep home with him?,local,causal relationship,,explicit
53d7b50fabd6542a,a-french-puck,2,startled,How did William feel after he heard a voice?,local,feeling,,implicit
46c94469e97a587a,a-french-puck,2,ran towards home as fast as his legs would carry him,What did William do after he talked to the voice?,local,action,,explicit
08e8fda92e9c59bb,a-french-puck,2,A voice spoke out from over his head.,What made William jump?,local,causal relationship,,explicit
545fda1a82b353c9,a-french-puck,3,a fly,What did Puck change himself into?,local,action,,explicit
ee6d021d01da5044,a-french-puck,3,He grew tired of cowboys and shepherds.,Why did Puck decide to play a trick on a couple?,local,causal relationship,,explicit
d871d4a27c86533d,a-french-puck,3,the different coloured reels of cotton,What did the bride forget to buy?,local,action,,explicit
5d156cf494b95f05,a-french-puck,3,upset,How did the bride feel after she forgot to buy her cotton?,local,feeling,,implicit
57e754d73d655603,a-french-puck,3,The dressmaker was coming in to-morrow.,Why did the bride need reels of cotton?,local,causal relationship,,explicit
d2bd1e7e8ea05be0,a-french-puck,4,Puck wanted to play another trick.,Why was there a large ball of thread on the side of the road?,local,causal relationship,,implicit
8e3a829a78805dad,a-french-puck,4,Puck,Who turned themselves into a large ball of thread?,local,character,,implicit
0e23aea2fb3258df,a-french-puck,4,happy,How did the couple feel after they found thread on the side of the road?,local,feeling,,implicit
eb17ed4fc96d5084,a-french-puck,4,"It matched the stuffs so perfectly, and never tied itself in knots, or broke perpetually, as most thread did.",Why was the dressmaker delighted with the thread?,local,causal relationship,,explicit
81813f6997db5fb2,a-french-puck,4,"The young people were immense favourites in the neighbourhood, and their parents were very rich.",Why was there a great crowd assembled to witness the ceremony?,local,causal relationship,,explicit
9e3a89b3a1c75596,a-french-puck,5,amazed,How did the wedding guests feel after they saw the dress?,local,feeling,,implicit
